registro_id,data_registro,linha_producao,turno,maquina,idade_maquina_anos,temperatura_valor,unidade_temperatura,pressao_valor,unidade_pressao,vibracao_motor_mm_s,velocidade_esteira_m_min,umidade_pct,tamanho_lote,tempo_setup_min,paradas_nao_planejadas,taxa_defeitos_pct,energia_sensor_b_kwh,codigo_campanha,ruido_aleatorio,consumo_energia_kwh,falha_24h
REG-00075,2025-01-19 18:00:00,linha_A,,M06,1,779.25,C,-3.0,psi,2.045,37.18,46.11,1296,33.73,1,2.822,484.58,B07,1.099121036550878,458.34,0
REG-00076,20/01/2025 00:00,linha a,MANHA,M04,5,787.42,C,95.422,psi,2.259,46.57,52.29,1819,35.37,0,2.544,520.59,C99,-0.8959231261972913,508.15,0
REG-00077,01-20-2025 06:00,L-B,Matutino,M04,3,781.07,C,6.098,bar,,37.64,41.09,3561,43.63,2,1.697,550.24,A12,0.9682943092937359,552.75,0
REG-00078,2025-01-20 12:00:00,B,Noturno,M06,9,1425.6,F,6.326,bar,2.235,38.85,60.8,4238,28.35,1,1.592,530.08,B07,-0.2824189031573673,505.8,0
REG-00079,20/01/2025 18:00,L-C,TARDE,M-erro,10,800.87,C,93.083,psi,2.139,47.65,50.37,3712,41.0,1,2.481,583.77,A12,-1.4479934059605262,566.49,0
REG-00080,01-21-2025 00:00,L-B,Vespertino,M04,14,778.3,C,89.513,psi,3.421,39.43,46.94,2134,50.57,1,2.342,558.56,X00,0.5932367006148741,547.31,1
REG-00081,2025-01-21 06:00:00,Linha A,Vespertino,M08,6,757.72,C,5.728,bar,3.006,41.15,60.98,4221,55.04,0,3.224,535.83,A12,1.3975436186143861,522.81,0
REG-00082,21/01/2025 12:00,linha c,T,M04,4,724.05,C,4.265,bar,10.958835408064012,37.45,41.28,2505,43.79,0,4.302,472.99,X00,-0.4066018713159627,475.38,0
REG-00083,01-21-2025 18:00,A,tarde,M02,14,793.13,C,6.345,bar,2.698,45.75,64.25,1560,37.6,2,3.393,517.28,A12,1.5627617502434605,523.86,0
REG-00084,2025-01-22 00:00:00,linha a,NOITE,M01,11,780.43,C,6.122,bar,3.031,45.81,49.26,3976,42.35,0,2.346,525.56,A12,-1.6559409143215462,518.12,0
REG-00085,22/01/2025 06:00,linha a,Noite,M02,12,806.52,C,102.767,psi,3.036,45.33,68.91,2970,60.03,0,2.225,557.87,C99,-1.196793236776362,538.76,0
REG-00086,01-22-2025 12:00,linha_B,Tarde,M06,7,760.99,C,5.525,bar,2.799,44.42,50.29,2356,28.99,2,2.16,514.06,A12,-0.14672604175213805,503.35,0
REG-00087,2025-01-22 18:00:00,linha b,Manhã,M05,7,1470.64,F,7.018,bar,2.683,42.33,62.58,3575,42.46,1,2.343,538.4,A12,-0.37076388592769405,516.97,0
REG-00088,23/01/2025 00:00,Linha A,tarde,M03,6,1416.67,F,5.616,bar,0.936,39.64,57.15,3843,42.09,1,2.911,486.65,B07,-0.6671333860592241,469.05,0
REG-00089,01-23-2025 06:00,B,TARDE,M04,12,1472.92,F,6.25,bar,3.305,38.33,63.93,1739,44.77,1,2.077,529.49,C99,0.13367771881822318,521.51,1
REG-00090,2025-01-23 12:00:00,Linha A,TARDE,M07,4,,F,5.542,bar,1.568,47.8,56.32,1292,72.15,0,2.702,479.07,A12,-0.5285904578303546,462.66,0
REG-00091,23/01/2025 18:00,Linha B,Vespertino,M05,15,812.43,C,99.513,psi,2.81,45.44,35.04,2971,48.05,0,2.678,525.45,A12,-0.3589746638027341,505.69,0
REG-00092,01-24-2025 00:00,linha_B,TARDE,M01,3,800.16,C,6.506,bar,,38.88,67.11,1016,44.0,0,2.724,448.25,B07,0.278425070350371,442.26,0
REG-00093,2025-01-24 06:00:00,linha a,M,M01,7,754.3,C,5.306,bar,2.595,42.18,53.95,3481,34.2,0,2.381,463.72,C99,-0.6675368824713616,458.55,1
REG-00094,24/01/2025 12:00,Linha A,Tarde,M04,5,779.61,C,88.645,psi,1.412,40.65,64.47,2647,47.33,1,2.847,534.01,A12,-0.10601816131897332,525.01,0
REG-00095,01-24-2025 18:00,L-B,,M04,10,1422.0,F,5.731,bar,3.117,36.92,63.28,1700,57.45,0,1.969,493.38,B07,-0.6455390463595895,505.1,0
REG-00096,2025-01-25 00:00:00,A,Manhã,M07,11,1372.23,F,72.969,psi,3.274,-20.0,45.72,3314,41.14,1,3.193,521.66,A12,-1.2056204167600297,511.74,0
REG-00097,25/01/2025 06:00,A,manha,M05,14,746.66,C,5.086,bar,3.341,40.13,44.02,2377,51.14,1,2.152,502.7,B07,0.7637021746737039,489.59,0
REG-00098,01-25-2025 12:00,A,Noite,M07,12,729.65,C,67.453,psi,2.67,37.71,62.86,2431,38.66,4,3.46,528.1,B07,1.7077944408420136,519.15,0
REG-00099,2025-01-25 18:00:00,,TARDE,M05,4,1420.72,F,5.02,bar,1.579,35.34,51.36,1708,26.07,1,2.549,483.3,C99,1.0645719950739163,473.44,0
REG-00100,26/01/2025 00:00,linha_C,Matutino,M03,4,,C,6.292,bar,2.482,34.96,66.24,3639,52.24,0,1.752,535.61,A12,0.33171608186131646,528.04,0
REG-00101,01-26-2025 06:00,Linha B,T,M06,14,773.38,C,5.85,bar,2.64,40.33,52.86,4592,45.15,1,1.601,558.32,X00,-0.6415284427359669,565.81,0
REG-00102,2025-01-26 12:00:00,A,noite,M05,8,769.27,C,5.981,bar,3.019,41.62,67.28,3398,15.64,0,1.672,519.16,A12,-0.28691872418274067,498.39,0
REG-00103,26/01/2025 18:00,linha c,M,M06,2,1360.8,F,4.364,bar,1.686,-20.0,60.08,1794,58.58,1,3.268,501.89,X00,1.0570212604673288,497.37,0
REG-00104,01-27-2025 00:00,L-C,Noturno,M02,13,756.91,C,5.242,bar,3.147,44.93,58.46,0,40.97,0,1.291,482.05,C99,-2.2814867670234147,479.79,0
REG-00105,2025-01-27 06:00:00,B,Noturno,M06,10,,C,80.58,psi,2.031,41.71,,1307,44.04,0,1.004,477.37,B07,-0.3632602243938508,459.61,0
REG-00106,27/01/2025 12:00,linha b,T,M03,1,1418.18,F,6.317,bar,1.564,44.6,57.79,2017,55.89,1,2.22,532.14,B07,0.7341159197442665,516.56,0
REG-00107,01-27-2025 18:00,A,Tarde,M07,12,786.94,C,88.518,psi,3.336,41.18,69.31,947,47.7,0,2.312,483.6,X00,-1.1382803821845036,474.3,1
REG-00108,2025-01-28 00:00:00,linha a,MANHA,M07,10,753.85,C,5.581,bar,2.199,38.46,54.35,4363,45.04,1,0.993,526.6,X00,0.42338828424553665,512.75,0
REG-00109,28/01/2025 06:00,Linha C,noite,M05,10,787.4,C,88.39,psi,3.024,42.51,61.37,988,32.26,3,3.81,510.21,C99,0.37698927076568955,511.77,0
REG-00110,01-28-2025 12:00,linha_B,Vespertino,M08,13,786.83,C,6.147,bar,3.23,36.32,55.56,3094,30.98,0,1.801,560.79,A12,-1.454332430262492,553.14,0
REG-00111,2025-01-28 18:00:00,L-A,N,M05,8,746.33,C,5.004,bar,2.25,44.43,56.5,1604,42.6,1,2.134,493.58,X00,0.08697811014293372,476.08,0
REG-00112,29/01/2025 00:00,L-A,Tarde,M01,7,790.08,C,6.852,bar,2.795,37.78,75.68,1691,47.75,0,2.068,505.81,B07,-0.6174452680015198,503.68,0
REG-00113,01-29-2025 06:00,linha_B,MANHA,M05,10,784.35,C,5.569,bar,1.809,46.13,69.42,3354,50.67,0,1.969,487.87,A12,0.4160986758835331,488.53,0
REG-00114,2025-01-29 12:00:00,linha_A,MANHA,M07,3,768.08,C,76.609,psi,2.046,40.48,55.95,4175,32.82,0,0.989,537.71,X00,0.6697886858912635,529.15,0
REG-00115,29/01/2025 18:00,C,Noturno,M01,3,772.43,C,5.191,bar,2.619,46.78,57.57,874,38.84,1,2.43,506.5,A12,0.3989389337731508,498.21,0
REG-00116,01-30-2025 00:00,L-B,T,M01,13,774.25,C,80.451,psi,3.838,36.95,46.58,1466,28.55,2,2.703,529.02,B07,0.07259232424309639,516.09,0
REG-00117,2025-01-30 06:00:00,B,M,M03,4,1419.28,F,5.537,bar,2.195,38.95,52.92,2004,45.32,0,2.388,516.41,A12,0.28887127242257243,519.64,0
REG-00118,30/01/2025 12:00,linha b,Noturno,M07,8,777.91,C,5.472,bar,2.404,43.71,58.71,4762,46.54,0,1.526,513.27,B07,-1.1760650889160043,525.77,0
REG-00119,01-30-2025 18:00,L-B,Noturno,M05,5,757.77,C,5.176,bar,1.864,47.27,65.21,1044,64.68,0,3.246,503.74,X00,-0.030751783863223487,"489,03",0
REG-00120,2025-01-31 00:00:00,linha_B,tarde,M08,4,781.26,C,5.433,bar,,49.5,63.99,1549,39.89,0,0.736,511.03,A12,-0.7964832467220053,512.02,0
REG-00121,31/01/2025 06:00,,Vespertino,M07,9,810.05,C,6.645,bar,2.915,42.19,41.69,2495,34.49,1,2.262,531.43,A12,1.0315387534870497,528.38,0
REG-00122,01-31-2025 12:00,A,Manhã,M05,13,759.27,C,85.548,psi,2.827,50.27,66.72,2167,49.99,0,3.065,443.69,X00,0.6832381559814402,454.34,0
REG-00123,2025-01-31 18:00:00,linha_A,noite,M06,7,1361.79,F,72.583,psi,2.751,40.7,53.93,1004,39.47,0,2.855,486.84,A12,0.6804013501198701,471.58,0
REG-00124,01/02/2025 00:00,Linha A,MANHA,M03,3,726.99,C,4.575,bar,2.85,46.94,43.16,3068,43.82,0,3.216,491.94,A12,1.7134915557639816,481.91,0
REG-00125,02-01-2025 06:00,Linha B,N,M01,4,810.97,C,,bar,1.992,37.76,71.04,3351,40.12,0,3.411,545.35,C99,-0.329977464800349,534.85,0
REG-00126,2025-02-01 12:00:00,A,TARDE,M04,3,766.37,C,5.154,bar,1.285,43.89,72.56,1543,23.48,1,2.068,475.25,B07,-0.54900735221085,465.83,0
REG-00127,01/02/2025 18:00,linha a,TARDE,M05,14,756.35,C,4.992,bar,2.715,31.46,58.16,3691,32.17,1,2.223,460.78,X00,-0.353602716257443,470.21,1
REG-00128,02-02-2025 00:00,linha_A,manha,M02,5,750.07,C,75.23,psi,2.499,,63.51,1038,44.15,1,1.466,489.36,A12,-1.6022364078382039,489.89,0
REG-00129,2025-02-02 06:00:00,Linha B,M,M02,6,746.41,C,5.396,bar,2.253,44.1,64.21,0,58.8,0,2.723,540.87,C99,-1.5235831208460078,536.44,0
REG-00130,02/02/2025 12:00,A,N,M01,2,788.62,C,6.674,bar,2.155,36.09,71.75,1888,38.35,0,2.789,497.2,X00,0.6211030089681117,495.75,0
REG-00131,02-02-2025 18:00,L-C,tarde,M06,7,748.93,C,5.388,bar,2.17,43.92,63.74,1742,53.16,0,3.063,509.86,C99,-1.3951401309238278,504.46,0
REG-00132,2025-02-03 00:00:00,Linha B,T,M08,14,810.61,C,6.76,bar,3.694,46.08,39.07,1624,63.95,1,4.953,592.48,A12,-1.074912565010059,"581,78",1
REG-00133,03/02/2025 06:00,Linha A,Noturno,M07,7,763.93,C,5.626,bar,2.339,39.74,79.12,4447,46.6,1,1.889,567.89,A12,-0.10171987710496015,551.56,0
REG-00134,02-03-2025 12:00,B,N,M04,10,1484.12,F,,bar,2.47,37.64,67.79,2908,37.23,1,2.221,518.11,A12,-0.41222760273766684,"522,12",0
REG-00135,2025-02-03 18:00:00,linha_A,N,M05,3,767.62,C,5.658,bar,1.71,39.87,48.89,3699,40.94,1,2.952,553.12,X00,0.885652357796067,545.02,1
REG-00136,04/02/2025 00:00,,MANHA,M08,3,758.36,C,6.164,bar,1.351,37.65,42.64,1656,53.08,0,1.02,554.01,A12,0.06046130500149494,540.21,0
REG-00137,02-04-2025 06:00,,tarde,M05,11,,C,6.052,bar,3.825,41.54,61.06,1037,54.56,0,3.481,528.28,A12,-0.7984686791721995,527.75,1
REG-00138,2025-02-04 12:00:00,linha_C,NOITE,M03,1,762.22,C,5.484,bar,1.587,42.46,51.66,960,45.18,0,1.418,477.84,B07,0.9716330097430793,472.3,0
REG-00139,04/02/2025 18:00,L-A,TARDE,M03,7,774.26,C,6.352,bar,2.7,40.62,58.96,2651,37.85,0,1.607,518.72,B07,0.7287913848387821,507.38,0
REG-00140,02-05-2025 00:00,L-B,manha,M06,5,768.81,C,5.251,bar,1.908,49.53,63.92,2171,38.57,1,2.288,505.97,A12,-1.4109834375738992,498.4,0
REG-00141,2025-02-05 06:00:00,linha b,Noite,M04,1,1499.86,F,6.939,bar,1.157,38.76,48.2,4024,34.78,1,3.558,541.9,B07,0.2522666446600327,528.58,0
REG-00142,05/02/2025 12:00,linha c,TARDE,M07,8,1363.42,F,4.705,bar,2.435,48.26,41.61,4111,43.98,1,2.866,581.69,X00,-0.7150767895851483,572.35,0
REG-00143,02-05-2025 18:00,B,T,M07,15,786.08,C,6.204,bar,3.946,37.31,59.63,2105,67.02,2,2.514,557.8,A12,-0.7414377928001679,552.01,1
REG-00144,2025-02-06 00:00:00,linha b,Noite,M01,2,781.27,C,5.579,bar,1.526,42.33,48.6,2620,9.23,2,2.188,497.41,X00,1.8695146613125098,499.3,0
REG-00145,06/02/2025 06:00,A,Vespertino,M06,13,775.24,C,6.166,bar,2.798,47.32,56.75,2402,50.97,3,1.805,561.76,C99,0.124271388451788,551.51,0
REG-00146,02-06-2025 12:00,linha_A,Vespertino,M03,9,760.27,C,5.741,bar,2.74,47.09,38.88,3635,44.85,1,1.747,506.34,B07,-0.2175384885139468,498.07,0
REG-00147,2025-02-06 18:00:00,L-B,TARDE,M05,11,791.67,C,6.628,bar,3.155,40.11,51.97,3444,31.74,0,2.625,504.61,C99,0.0849512252956204,504.98,0
REG-00148,07/02/2025 00:00,linha_B,tarde,M03,2,782.96,C,5.884,bar,2.499,44.5,63.58,3534,45.46,0,3.42,519.45,B07,0.8742402628292937,507.18,0
REG-00149,02-07-2025 06:00,A,M,M03,14,1339.74,F,4.526,bar,3.479,,,1033,43.11,1,3.196,511.48,A12,-0.701604475953444,493.93,0
