registro_id,maquina,idade_maquina_anos,vibracao_motor_mm_s,velocidade_esteira_m_min,umidade_pct,tamanho_lote,tempo_setup_min,paradas_nao_planejadas,taxa_defeitos_pct,energia_sensor_b_kwh,codigo_campanha,ruido_aleatorio,consumo_energia_kwh,falha_24h,data_registro_pad,temperatura_c,pressao_bar,linha_producao_pad,turno_pad
REG-00032,M04,12,3.532,46.38,44.88,3457.0,35.67,1,3.273,507.85,A12,-0.3794758186151776,499.7,0,2025-09-01 00:00:00,741.3,4.571422661647293,A,manha
REG-00033,M02,15,2.526,43.96,37.88,2641.0,30.86,1,2.437,516.11,A12,-0.6120996398827769,506.15,0,2025-01-09 06:00:00,773.2333333333332,5.285,A,noite
REG-00034,M08,4,0.997,40.0,57.86,4913.0,45.04,0,2.047,543.18,X00,-0.6335123220917724,532.47,0,2025-01-09 12:00:00,759.63,5.792,B,manha
REG-00035,M05,2,2.073,44.75,50.99,3948.0,25.33,1,2.566,461.44,A12,-1.4582640382249243,460.41,0,2025-09-01 18:00:00,733.68,4.798,A,manha
REG-00036,M02,9,2.526,47.44,65.06,1026.0,45.02,2,2.377,480.8,C99,-0.5695275877347149,476.26,0,2025-01-10 00:00:00,773.6111111111111,6.085,A,manha
REG-00037,M01,5,2.342,42.61,39.79,3003.0,42.44,0,0.851,498.65,A12,0.6493311122795312,495.02,0,2025-01-10 06:00:00,755.33,4.859,B,tarde
REG-00038,M07,7,2.317,50.11,45.91,4410.0,46.38,0,2.289,588.62,C99,-0.0039314396099758,512.27,0,2025-10-01 12:00:00,771.68,6.475,A,manha
REG-00039,M08,4,2.078,45.83,26.35,1121.0,51.05,0,1.765,498.14,X00,0.5045071285069141,512.27,0,2025-01-10 18:00:00,768.45,5.54,B,manha
REG-00040,M07,6,1.87,41.85249999999999,28.79,3894.0,52.18,0,2.033,521.3,B07,-0.4960819974448485,512.27,0,2025-01-11 00:00:00,777.19,6.075,B,noite
REG-00041,M01,6,2.631,43.13,76.58,1827.0,44.54,2,3.672,483.86,A12,0.9028459907819298,465.95,0,2025-11-01 06:00:00,750.38,5.51,C,manha
REG-00042,M01,6,1.628,42.62,80.0,2927.0,36.9,2,2.573,563.62,A12,-0.5083618753435353,545.52,0,2025-01-11 12:00:00,796.46,6.248,B,tarde
REG-00043,M02,12,3.619,36.37,56.11,4506.0,50.69,1,3.2,529.2,X00,-2.108557300525894,532.26,0,2025-01-11 18:00:00,740.13,4.712558088225155,A,manha
REG-00044,M07,9,2.486,41.59,45.11,2867.0,38.65,1,1.827,490.99,A12,0.3166237929262971,485.49,1,2025-12-01 00:00:00,768.92,5.830265171885989,C,tarde
REG-00045,M07,8,1.909,43.0,51.42,958.0,42.24,1,2.457,448.84,B07,0.7673847690286804,442.34,0,2025-01-12 06:00:00,745.04,6.051,C,manha
REG-00046,M07,2,2.478,40.13,65.48,887.0,68.82,0,3.742,481.41,X00,-0.5592390124192269,469.47,0,2025-01-12 12:00:00,764.6800000000001,5.167,A,tarde
REG-00047,M01,9,2.64,43.52,48.83,3894.0,47.99,1,2.18,521.98,C99,1.199206267408414,516.03,0,2025-12-01 18:00:00,751.9444444444445,5.82,A,manha
REG-00048,M02,3,2.748,41.85249999999999,57.85,4709.0,44.0,0,2.637,550.97,X00,-0.85069218770483,543.61,0,2025-01-13 00:00:00,805.86,7.298,B,noite
REG-00049,M08,5,2.7,45.48,54.85,2026.0,32.53,1,4.0,476.85,X00,0.6707268128673335,473.44,0,2025-01-13 06:00:00,793.18,6.624,A,noite
REG-00050,M08,7,2.051,44.98,48.17,4728.0,55.64,0,1.387,563.34,C99,1.7447759421571496,546.75,0,2025-01-13 12:00:00,767.91,5.391,A,manha
REG-00051,M06,3,1.852,42.75,48.69,2701.0,47.72,0,1.476,482.11,X00,0.0367309843715498,486.36,0,2025-01-13 18:00:00,733.57,5.078117458872847,A,manha
REG-00052,M01,6,2.334,35.85,58.52,1046.0,51.41,0,1.442,530.12,A12,-0.2264830860230257,525.65,0,2025-01-14 00:00:00,751.83,4.731,C,manha
REG-00053,M01,5,2.837,50.06,54.67554680664917,3030.0,43.58,1,2.16,492.14,A12,-0.1056716754740649,499.4,0,2025-01-14 06:00:00,801.3166666666666,7.299742136543526,B,tarde
REG-00054,M01,13,3.387,41.36,60.42,4889.0,63.01,2,1.59,605.98,B07,1.628295386951797,605.14,0,2025-01-14 12:00:00,786.06,6.352,B,manha
REG-00055,M06,13,3.269,41.64,49.34,1850.0,65.86,0,1.574,532.17,X00,0.4027825737911772,521.8,0,2025-01-14 18:00:00,765.13,4.726,C,noite
REG-00056,M07,1,1.54,40.46,56.53,4834.0,39.6,0,2.24,514.06,C99,2.1442026772186717,503.81,0,2025-01-15 00:00:00,787.54,6.207,B,noite
REG-00057,M06,10,2.777,39.8,71.61,3538.0,45.62,2,3.197,559.28,B07,0.2792513879440206,553.48,0,2025-01-15 06:00:00,779.7,6.319792054496063,B,noite
REG-00058,M03,10,3.387,48.95,52.98,2463.0,57.73,1,2.711,566.82,A12,-0.653796659903744,549.59,0,2025-01-15 12:00:00,757.05,5.329,A,tarde
REG-00059,M07,6,2.282,48.24,66.04,3712.0,31.35,1,3.294,519.13,X00,-0.58350693521321,500.78,0,2025-01-15 18:00:00,728.84,4.815,A,noite
REG-00060,M01,8,2.362,44.0,33.5,2483.0,35.98,1,1.489,539.79,X00,0.0616072654929471,532.36,1,2025-01-16 00:00:00,779.11,5.776,B,manha
REG-00061,M07,12,2.526,41.52,49.36,1157.0,48.76,1,3.22,466.66,A12,-2.041322615969686,457.79,0,2025-01-16 06:00:00,764.6800000000001,5.923,B,tarde
REG-00062,M08,6,2.031,44.79,54.67554680664917,4457.0,21.3,0,3.105,482.64,B07,-0.4749898367206276,479.08,0,2025-01-16 12:00:00,764.6800000000001,6.166,B,manha
REG-00063,M06,1,0.999,42.33,78.08,2370.0,46.13,0,3.109,519.25,C99,-0.4527978340497681,506.63,0,2025-01-16 18:00:00,726.92,4.519,C,noite
REG-00064,M08,6,1.942,41.14,31.48,3176.0,30.65,1,3.057,527.9,A12,0.2397897554188664,529.51,0,2025-01-17 00:00:00,797.6111111111111,5.648018277715403,B,manha
REG-00065,M05,4,2.694,41.85249999999999,53.85,3926.0,34.14,0,2.551,561.61,C99,1.9418182204014496,539.16,0,2025-01-17 06:00:00,817.98,7.669,B,noite
REG-00066,M04,6,2.187,40.01,72.48,1148.0,39.64,0,2.568,513.81,X00,0.0548164884091793,497.23,0,2025-01-17 12:00:00,774.41,5.635,B,manha
REG-00067,M03,4,2.337,43.14,45.58,3830.0,40.27,0,2.855,465.46,X00,-1.9226590871263651,468.03,0,2025-01-17 18:00:00,761.89,5.666,A,noite
REG-00068,M08,3,0.775,42.92,52.45,2334.0,34.48,3,2.386,533.51,X00,-0.9139076498769614,531.84,0,2025-01-18 00:00:00,773.56,5.931,A,tarde
REG-00069,M06,15,3.706,44.71,58.98,3087.0,52.19,0,3.606,578.29,X00,0.2622878618709137,566.42,0,2025-01-18 06:00:00,822.58,6.833,B,tarde
REG-00070,M02,2,1.687,39.21,57.21,2719.0,36.68,0,2.102,464.22,B07,0.0929947596786971,460.03,0,2025-01-18 12:00:00,744.57,4.575559508542589,A,noite
REG-00071,M08,11,2.713,45.2,73.79,4066.0,42.84,2,1.768,622.13,B07,1.6244555223125838,608.65,0,2025-01-18 18:00:00,771.66,5.8539141466374325,A,tarde
REG-00072,M01,11,3.011,37.92,60.38,1587.0,38.92,1,2.401,498.44,B07,0.9600772983713738,493.91,0,2025-01-19 00:00:00,741.61,5.6416249534604725,C,tarde
REG-00073,M05,10,2.526,39.42,70.93,1252.0,59.98,0,2.225,470.74,X00,0.9301154737777166,451.77,0,2025-01-19 06:00:00,758.15,5.648018277715403,A,tarde
REG-00074,M02,14,2.364,39.62,50.68,2526.0,26.55,0,2.077,480.27,C99,-0.2171330921525105,473.1,0,2025-01-19 12:00:00,754.11,4.719,A,manha
REG-00075,M06,1,2.045,37.18,46.11,1296.0,33.73,1,2.822,484.58,B07,1.099121036550878,458.34,0,2025-01-19 18:00:00,779.25,5.648018277715403,A,manha
REG-00076,M04,5,2.259,46.57,52.29,1819.0,35.37,0,2.544,520.59,C99,-0.8959231261972913,508.15,0,2025-01-20 00:00:00,787.42,6.579103407382893,A,manha
REG-00077,M04,3,2.526,37.64,41.09,3561.0,43.63,2,1.697,550.24,A12,0.968294309293736,552.75,0,2025-01-20 06:00:00,781.07,6.098,B,manha
REG-00078,M06,9,2.235,38.85,60.8,4238.0,28.35,1,1.592,530.08,B07,-0.2824189031573673,505.8,0,2025-01-20 12:00:00,774.2222222222222,6.326,B,noite
REG-00080,M04,14,3.421,39.43,46.94,2134.0,50.57,1,2.342,558.56,X00,0.5932367006148741,547.31,1,2025-01-21 00:00:00,778.3,6.171692935644452,B,tarde
REG-00081,M08,6,3.006,41.15,60.98,4221.0,55.04,0,3.224,535.83,A12,1.397543618614386,522.81,0,2025-01-21 06:00:00,757.72,5.728,A,tarde
REG-00082,M04,4,10.958835408064012,37.45,41.28,2505.0,43.79,0,4.302,472.99,X00,-0.4066018713159627,475.38,0,2025-01-21 12:00:00,724.05,4.265,C,tarde
REG-00083,M02,14,2.698,45.75,64.25,1560.0,37.6,2,3.393,517.28,A12,1.5627617502434603,523.86,0,2025-01-21 18:00:00,793.13,6.345,A,tarde
REG-00084,M01,11,3.031,45.81,49.26,3976.0,42.35,0,2.346,525.56,A12,-1.6559409143215462,518.12,0,2025-01-22 00:00:00,780.43,6.122,A,noite
REG-00085,M02,12,3.036,45.33,68.91,2970.0,60.03,0,2.225,557.87,C99,-1.196793236776362,538.76,0,2025-01-22 06:00:00,806.52,7.085522414815427,A,noite
REG-00086,M06,7,2.799,44.42,50.29,2356.0,28.99,2,2.16,514.06,A12,-0.146726041752138,503.35,0,2025-01-22 12:00:00,760.99,5.525,B,tarde
REG-00087,M05,7,2.683,42.33,62.58,3575.0,42.46,1,2.343,538.4,A12,-0.370763885927694,516.97,0,2025-01-22 18:00:00,799.2444444444445,7.018,B,manha
REG-00088,M03,6,0.936,39.64,57.15,3843.0,42.09,1,2.911,486.65,B07,-0.6671333860592241,469.05,0,2025-01-23 00:00:00,769.2611111111112,5.616,A,tarde
REG-00089,M04,12,3.305,38.33,63.93,1739.0,44.77,1,2.077,529.49,C99,0.1336777188182231,521.51,1,2025-01-23 06:00:00,800.5111111111112,6.25,B,tarde
REG-00090,M07,4,1.568,47.8,56.32,1292.0,72.15,0,2.702,479.07,A12,-0.5285904578303546,462.66,0,2025-01-23 12:00:00,764.6800000000001,5.542,A,tarde
REG-00091,M05,15,2.81,45.44,35.04,2971.0,48.05,0,2.678,525.45,A12,-0.3589746638027341,505.69,0,2025-01-23 18:00:00,812.43,6.861167418193853,B,tarde
REG-00092,M01,3,2.526,38.88,67.11,1016.0,44.0,0,2.724,448.25,B07,0.278425070350371,442.26,0,2025-01-24 00:00:00,800.16,6.506,B,tarde
REG-00093,M01,7,2.595,42.18,53.95,3481.0,34.2,0,2.381,463.72,C99,-0.6675368824713616,458.55,1,2025-01-24 06:00:00,754.3,5.306,A,manha
REG-00094,M04,5,1.412,40.65,64.47,2647.0,47.33,1,2.847,534.01,A12,-0.1060181613189733,525.01,0,2025-01-24 12:00:00,779.61,6.1118465505591635,A,tarde
REG-00095,M04,10,3.117,36.92,63.28,1700.0,57.45,0,1.969,493.38,B07,-0.6455390463595895,505.1,0,2025-01-24 18:00:00,772.2222222222222,5.731,B,manha
REG-00096,M07,11,3.274,41.85249999999999,45.72,3314.0,41.14,1,3.193,521.66,A12,-1.2056204167600295,511.74,0,2025-01-25 00:00:00,744.5722222222222,5.031026351714723,A,manha
REG-00097,M05,14,3.341,40.13,44.02,2377.0,51.14,1,2.152,502.7,B07,0.7637021746737039,489.59,0,2025-01-25 06:00:00,746.66,5.086,A,manha
REG-00098,M07,12,2.67,37.71,62.86,2431.0,38.66,4,3.46,528.1,B07,1.7077944408420136,519.15,0,2025-01-25 12:00:00,729.65,4.650712227140474,A,noite
REG-00099,M05,4,1.579,35.34,51.36,1708.0,26.07,1,2.549,483.3,C99,1.0645719950739163,473.44,0,2025-01-25 18:00:00,771.5111111111112,5.02,A,tarde
REG-00100,M03,4,2.482,34.96,66.24,3639.0,52.24,0,1.752,535.61,A12,0.3317160818613164,528.04,0,2025-01-26 00:00:00,764.6800000000001,6.292,C,manha
REG-00101,M06,14,2.64,40.33,52.86,4592.0,45.15,1,1.601,558.32,X00,-0.6415284427359669,565.81,0,2025-01-26 06:00:00,773.38,5.85,B,tarde
REG-00102,M05,8,3.019,41.62,67.28,3398.0,15.64,0,1.672,519.16,A12,-0.2869187241827406,498.39,0,2025-01-26 12:00:00,769.27,5.981,A,noite
REG-00103,M06,2,1.686,41.85249999999999,60.08,1794.0,58.58,1,3.268,501.89,X00,1.0570212604673288,497.37,0,2025-01-26 18:00:00,738.2222222222222,4.364,C,manha
REG-00105,M06,10,2.031,41.71,54.67554680664917,1307.0,44.04,0,1.004,477.37,B07,-0.3632602243938508,459.61,0,2025-01-27 06:00:00,764.6800000000001,5.555785380383072,B,noite
REG-00106,M03,1,1.564,44.6,57.79,2017.0,55.89,1,2.22,532.14,B07,0.7341159197442665,516.56,0,2025-01-27 12:00:00,770.1,6.317,B,tarde
REG-00107,M07,12,3.336,41.18,69.31,947.0,47.7,0,2.312,483.6,X00,-1.1382803821845036,474.3,1,2025-01-27 18:00:00,786.94,6.103090224630787,A,tarde
REG-00108,M07,10,2.199,38.46,54.35,4363.0,45.04,1,0.993,526.6,X00,0.4233882842455366,512.75,0,2025-01-28 00:00:00,753.85,5.581,A,manha
REG-00109,M05,10,3.024,42.51,61.37,988.0,32.26,3,3.81,510.21,C99,0.3769892707656895,511.77,0,2025-01-28 06:00:00,787.4,6.0942649512541545,C,noite
REG-00110,M08,13,3.23,36.32,55.56,3094.0,30.98,0,1.801,560.79,A12,-1.454332430262492,553.14,0,2025-01-28 12:00:00,786.83,6.147,B,tarde
REG-00111,M05,8,2.25,44.43,56.5,1604.0,42.6,1,2.134,493.58,X00,0.0869781101429337,476.08,0,2025-01-28 18:00:00,746.33,5.004,A,noite
REG-00112,M01,7,2.795,37.78,75.68,1691.0,47.75,0,2.068,505.81,B07,-0.6174452680015198,503.68,0,2025-01-29 00:00:00,790.08,6.852,A,tarde
REG-00113,M05,10,1.809,46.13,69.42,3354.0,50.67,0,1.969,487.87,A12,0.4160986758835331,488.53,0,2025-01-29 06:00:00,784.35,5.569,B,manha
REG-00114,M07,3,2.046,40.48,55.95,4175.0,32.82,0,0.989,537.71,X00,0.6697886858912635,529.15,0,2025-01-29 12:00:00,768.08,5.281995063362705,A,manha
REG-00115,M01,3,2.619,46.78,57.57,874.0,38.84,1,2.43,506.5,A12,0.3989389337731508,498.21,0,2025-01-29 18:00:00,772.43,5.191,C,noite
REG-00116,M01,13,3.838,36.95,46.58,1466.0,28.55,2,2.703,529.02,B07,0.0725923242430963,516.09,0,2025-01-30 00:00:00,774.25,5.546891159558184,B,tarde
REG-00117,M03,4,2.195,38.95,52.92,2004.0,45.32,0,2.388,516.41,A12,0.2888712724225724,519.64,0,2025-01-30 06:00:00,770.7111111111111,5.537,B,manha
REG-00118,M07,8,2.404,43.71,58.71,4762.0,46.54,0,1.526,513.27,B07,-1.1760650889160045,525.77,0,2025-01-30 12:00:00,777.91,5.472,B,noite
REG-00119,M05,5,1.864,47.27,65.21,1044.0,64.68,0,3.246,503.74,X00,-0.0307517838632234,512.27,0,2025-01-30 18:00:00,757.77,5.176,B,noite
REG-00120,M08,4,2.526,49.5,63.99,1549.0,39.89,0,0.736,511.03,A12,-0.7964832467220053,512.02,0,2025-01-31 00:00:00,781.26,5.433,B,tarde
REG-00121,M07,9,2.915,42.19,41.69,2495.0,34.49,1,2.262,531.43,A12,1.0315387534870497,528.38,0,2025-01-31 06:00:00,810.05,6.645,A,tarde
REG-00122,M05,13,2.827,50.27,66.72,2167.0,49.99,0,3.065,443.69,X00,0.6832381559814402,454.34,0,2025-01-31 12:00:00,759.27,5.898316303313615,A,manha
REG-00123,M06,7,2.751,40.7,53.93,1004.0,39.47,0,2.855,486.84,A12,0.6804013501198701,471.58,0,2025-01-31 18:00:00,738.7722222222222,5.004412636688316,A,noite
REG-00124,M03,3,2.85,46.94,43.16,3068.0,43.82,0,3.216,491.94,A12,1.7134915557639816,481.91,0,2025-02-01 00:00:00,726.99,4.575,A,manha
REG-00125,M01,4,1.992,37.76,71.04,3351.0,40.12,0,3.411,545.35,C99,-0.329977464800349,534.85,0,2025-01-02 06:00:00,810.97,5.648018277715403,B,noite
REG-00126,M04,3,1.285,43.89,72.56,1543.0,23.48,1,2.068,475.25,B07,-0.54900735221085,465.83,0,2025-02-01 12:00:00,766.37,5.154,A,tarde
REG-00127,M05,14,2.715,31.46,58.16,3691.0,32.17,1,2.223,460.78,X00,-0.353602716257443,470.21,1,2025-02-01 18:00:00,756.35,4.992,A,tarde
REG-00128,M02,5,2.499,41.85249999999999,63.51,1038.0,44.15,1,1.466,489.36,A12,-1.602236407838204,489.89,0,2025-02-02 00:00:00,750.07,5.186916532219143,A,manha
REG-00130,M01,2,2.155,36.09,71.75,1888.0,38.35,0,2.789,497.2,X00,0.6211030089681117,495.75,0,2025-02-02 12:00:00,788.62,6.674,A,noite
REG-00131,M06,7,2.17,43.92,63.74,1742.0,53.16,0,3.063,509.86,C99,-1.3951401309238278,504.46,0,2025-02-02 18:00:00,748.93,5.388,C,tarde
REG-00132,M08,14,3.694,46.08,39.07,1624.0,63.95,1,4.953,592.48,A12,-1.074912565010059,512.27,1,2025-02-03 00:00:00,810.61,6.76,B,tarde
REG-00133,M07,7,2.339,39.74,79.12,4447.0,46.6,1,1.889,567.89,A12,-0.1017198771049601,551.56,0,2025-02-03 06:00:00,763.93,5.626,A,noite
REG-00134,M04,10,2.47,37.64,67.79,2908.0,37.23,1,2.221,518.11,A12,-0.4122276027376668,512.27,0,2025-03-02 12:00:00,806.7333333333332,5.648018277715403,B,noite
REG-00135,M05,3,1.71,39.87,48.89,3699.0,40.94,1,2.952,553.12,X00,0.885652357796067,545.02,1,2025-02-03 18:00:00,767.62,5.658,A,noite
REG-00136,M08,3,1.351,37.65,42.64,1656.0,53.08,0,1.02,554.01,A12,0.0604613050014949,540.21,0,2025-02-04 00:00:00,758.36,6.164,A,manha
REG-00137,M05,11,3.825,41.54,61.06,1037.0,54.56,0,3.481,528.28,A12,-0.7984686791721995,527.75,1,2025-04-02 06:00:00,764.6800000000001,6.052,A,tarde
REG-00138,M03,1,1.587,42.46,51.66,960.0,45.18,0,1.418,477.84,B07,0.9716330097430792,472.3,0,2025-02-04 12:00:00,762.22,5.484,C,noite
REG-00139,M03,7,2.7,40.62,58.96,2651.0,37.85,0,1.607,518.72,B07,0.7287913848387821,507.38,0,2025-02-04 18:00:00,774.26,6.352,A,tarde
REG-00140,M06,5,1.908,49.53,63.92,2171.0,38.57,1,2.288,505.97,A12,-1.4109834375738992,498.4,0,2025-05-02 00:00:00,768.81,5.251,B,manha
REG-00141,M04,1,1.157,38.76,48.2,4024.0,34.78,1,3.558,541.9,B07,0.2522666446600327,528.58,0,2025-02-05 06:00:00,815.4777777777776,6.939,B,noite
REG-00142,M07,8,2.435,48.26,41.61,4111.0,43.98,1,2.866,581.69,X00,-0.7150767895851483,572.35,0,2025-02-05 12:00:00,739.6777777777778,4.705,C,tarde
REG-00143,M07,15,3.946,37.31,59.63,2105.0,67.02,2,2.514,557.8,A12,-0.7414377928001679,552.01,1,2025-05-02 18:00:00,786.08,6.204,B,tarde
REG-00144,M01,2,1.526,42.33,48.6,2620.0,9.23,2,2.188,497.41,X00,1.8695146613125095,499.3,0,2025-02-06 00:00:00,781.27,5.579,B,noite
REG-00145,M06,13,2.798,47.32,56.75,2402.0,50.97,3,1.805,561.76,C99,0.124271388451788,551.51,0,2025-02-06 06:00:00,775.24,6.166,A,tarde
REG-00146,M03,9,2.74,47.09,38.88,3635.0,44.85,1,1.747,506.34,B07,-0.2175384885139468,498.07,0,2025-06-02 12:00:00,760.27,5.741,A,tarde
REG-00147,M05,11,3.155,40.11,51.97,3444.0,31.74,0,2.625,504.61,C99,0.0849512252956204,504.98,0,2025-02-06 18:00:00,791.67,6.628,B,tarde
REG-00148,M03,2,2.499,44.5,63.58,3534.0,45.46,0,3.42,519.45,B07,0.8742402628292937,507.18,0,2025-02-07 00:00:00,782.96,5.884,B,tarde
REG-00149,M03,14,3.479,41.85249999999999,54.67554680664917,1033.0,43.11,1,3.196,511.48,A12,-0.701604475953444,493.93,0,2025-07-02 06:00:00,726.5222222222222,4.526,A,manha
REG-00150,M03,1,1.92,39.57,45.54,2219.0,31.92,1,0.616,483.1,A12,-0.5308499694410018,481.16,0,2025-02-07 12:00:00,751.17,4.92,A,noite
REG-00151,M01,14,3.644,44.77,40.98,4861.0,73.99,1,4.26,563.94,A12,0.6566714581463277,561.34,0,2025-02-07 18:00:00,731.19,4.519,C,noite
REG-00152,M07,10,2.281,50.38,55.19,2235.0,59.12,1,3.377,550.99,C99,-1.516389290490369,548.87,0,2025-08-02 00:00:00,723.78,5.648018277715403,A,manha
REG-00153,M02,6,1.847,44.12,61.73,1532.0,49.09,0,1.775,507.25,A12,0.9907718409092912,512.99,0,2025-02-08 06:00:00,775.46,5.997,B,manha
REG-00154,M04,1,2.526,44.55,59.86,1638.0,40.77,0,1.431,528.61,A12,-1.60517973482356,505.0,0,2025-02-08 12:00:00,771.78,5.438,A,noite
REG-00155,M02,10,2.201,45.02,48.85,912.0,45.02,0,1.449,488.03,A12,-0.2457668085754092,484.35,0,2025-08-02 18:00:00,782.48,6.23753774872792,B,manha
